Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Naval Base Kitsap Bangor - Silverdale,2018,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,21669,0,21541,11,117,0,0,0,0,,1,"(47.699284, -122.696926)",POINT (-122.696926 47.699284)
"SEI Fuel Services, Inc.",2018,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",NA,NA,NA,372164,24405,347759,0,0,0,0,0,0,,,,
Darigold - Sunnyside,2017,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,37986,0,37946,18,21,0,0,0,0,,2,"(46.30058, -120.015675)",POINT (-120.01567500000002 46.30058)
Alcoa Intalco Works - Ferndale,2013,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1234637,0,428539,11351,35,0,794712,0,0,PFC emissions based on old source test information.,4,"(48.8455, -122.7055)",POINT (-122.70549999999999 48.8455)
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2016,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,53752,53043,1,102,607,0,0,0,0,,2,"(48.609799, -118.067441)",POINT (-118.06744099999999 48.609799)
Tree Top - Prosser,2016,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,17640,0,17622,8,10,0,0,0,0,,1,"(46.21842, -119.73397)",POINT (-119.73397 46.21842)
"Rainier Veneer, Inc. - Spanaway",2012,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,16320,15151,838,130,203,0,0,0,0,,1,"(47.062059, -122.318981)",POINT (-122.318981 47.062059)
Fairchild AFB - Spokane Co.,2018,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,11933,0,11921,6,7,0,0,0,0,,1,"(47.641332, -117.644832)",POINT (-117.64483200000001 47.641332)
Northwest Pipeline C/S - Sumas,2015,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,109422,0,104002,5362,58,0,0,0,0,,3,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
Chevron U.S.A. Inc.,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Chevron U.S.A. Inc.,NA,NA,NA,3093693,190217,2903476,0,0,0,0,0,0,,,,
Northwest Pipeline C/S - Sumner,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumner,Pierce,Puget Sound Clean Air Agency,37486,0,36678,787,21,0,0,0,0,,2,"(47.228986, -122.209551)",POINT (-122.20955100000002 47.228986)
Matheson - Anacortes,2017,Petroleum Systems,Other Petroleum Systems,325120,Industrial Gas Manufacturing,Linde Gas North America LLC,Anacortes,Skagit,Northwest Clean Air Agency,36176,0,36176,0,0,0,0,0,0,,2,"(48.467646, -122.554343)",POINT (-122.554343 48.467646)
Goodrich Corporation - Spokane,2015,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Goodrich Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,42844,0,42805,18,21,0,0,0,0,,2,"(47.583604, -117.568511)",POINT (-117.568511 47.583604)
Puget Sound Energy - Frederickson Generating Station - Tacoma,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,24854,0,24828,12,14,0,0,0,0,,1,"(47.079716, -122.364711)",POINT (-122.364711 47.079716)
University of Washington Seattle Campus - Seattle,2017,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,94113,0,94016,44,53,0,0,0,0,,2,"(47.653614, -122.303608)",POINT (-122.303608 47.653614)
Bonneville Power Administration - WA Only - statewide,2018,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,19350,0,0,0,0,0,0,19350,0,,1,"(45.661178, -122.658608)",POINT (-122.658608 45.661178)
Phillips 66 Company,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Phillips 66 Company,NA,NA,NA,4941002,268520,4672482,0,0,0,0,0,0,,,,
Star Forge LLC dba Jorgensen Forge - Tukwila,2017,Metals,Iron and Steel Production,332111,Iron and Steel Forging,Jorgensen Forge Corp.,Tukwila,King,Puget Sound Clean Air Agency,8739,0,8730,4,5,0,0,0,0,,1,"(47.526872, -122.303906)",POINT (-122.303906 47.526872)
Tree Top - Wenatchee,2020,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Wenatchee,Chelan,Ecology: Central Regional Office,9129,0,9119,4,5,0,0,0,0,,1,"(47.48938, -120.31426)",POINT (-120.31425999999999 47.48938)
NW Natural LDC - WA - statewide,2017,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,Clark,Southwest Clean Air Agency,8183,0,10,8173,0,0,0,0,0,Last year reporting.,1,,
Cosmo Specialty Fibers Inc - Cosmopolis,2015,Pulp and Paper,Sulfite Mills,322110,Pulp Mills,Gores Group,Cosmopolis,Grays Harbor,Ecology: Industrial Section,1170393,1144912,16976,5426,3079,0,0,0,0,,4,"(46.952907, -123.76211)",POINT (-123.76211 46.952907)
J.R. Simplot Company - Moses Lake,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,34481,3946,25787,4720,29,0,0,0,0,,2,"(47.131732, -119.18926)",POINT (-119.18926000000002 47.131732)
Northwest Pipeline C/S - Mount Vernon,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,27886,0,23329,4544,13,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
Puget Sound Energy - Whitehorn Generating Station - Blaine,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,44950,0,44903,21,26,0,0,0,0,,2,"(48.885475, -122.724299)",POINT (-122.724299 48.885475)
Alcoa Wenatchee Works - Malaga,2016,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Malaga,Chelan,Ecology: Industrial Section,898,0,897,1,1,0,0,0,0,Facility curtailed.,1,"(47.3567, -120.1273)",POINT (-120.12730000000002 47.3567)
Northwest Pipeline Roosevelt C/S - Bickleton,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,22628,0,19805,2812,11,0,0,0,0,,1,"(45.849504, -120.08083)",POINT (-120.08083 45.849504)
Cathcart Landfill - Snohomish,2017,Waste,Landfills,562111,Solid Waste Collection,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,34214,0,172,34042,0,0,0,0,0,,2,"(47.870014, -122.118284)",POINT (-122.11828399999999 47.870014)
Naval Base Kitsap - Bremerton,2015,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,42287,0,42241,21,26,0,0,0,0,,2,"(47.557047, -122.645933)",POINT (-122.645933 47.557047)
Northwest Hardwoods Inc. - Longview,2016,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Longview,Cowlitz,Southwest Clean Air Agency,12808,7628,5073,17,90,0,0,0,0,,1,"(46.114537, -122.916806)",POINT (-122.91680600000001 46.114537)
Imerys Minerals Quincy Plant - Quincy,2017,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,21395,0,21373,10,12,0,0,0,0,,1,"(47.239948, -119.838831)",POINT (-119.83883100000001 47.239948)
Lamb Weston - Pasco,2020,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,38996,0,38956,18,22,0,0,0,0,,2,"(46.288137, -119.115336)",POINT (-119.115336 46.288137)
Northwest Pipeline C/S - Snohomish,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,25145,0,24353,779,14,0,0,0,0,,2,"(47.78825, -122.05859)",POINT (-122.05858999999998 47.78825)
Packaging Corporation of America - Wallula,2019,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,844086,692272,142978,6425,2412,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
Packaging Corporation of America - Wallula,2012,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,923998,791371,105876,14533,12218,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
Puget Sound Energy - Goldendale Generating Station - Goldendale,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Goldendale,Klickitat,Ecology: Central Regional Office,387312,0,386918,180,214,0,0,0,0,,3,"(45.8114, -120.833)",POINT (-120.833 45.8114)
Sierra Pacific Industries - Shelton,2015,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Shelton,Mason,Olympic Region Clean Air Agency,41324,40641,140,78,465,0,0,0,0,,2,"(47.213448, -123.096517)",POINT (-123.09651699999999 47.213448)
Matheson - Anacortes,2013,Petroleum Systems,Other Petroleum Systems,325120,Industrial Gas Manufacturing,Linde Gas North America LLC,Anacortes,Skagit,Northwest Clean Air Agency,41885,0,41885,0,0,0,0,0,0,First year reporting.,2,"(48.467646, -122.554343)",POINT (-122.554343 48.467646)
Gas Transmission Northwest Compressor Station 6 - Rosalia,2014,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Spokane,Spokane Regional Clean Air Agency,75084,0,73574,1469,41,0,0,0,0,,2,"(47.277256, -117.406737)",POINT (-117.40673699999999 47.277256)
Ash Grove Cement Company - Seattle,2016,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,383836,0,383432,197,207,0,0,0,0,,3,"(47.56799, -122.34255)",POINT (-122.34255 47.56799)
U.S. Oil & Refining Co. - Tacoma,2015,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,139259,0,137379,1425,455,0,0,0,0,,3,"(47.256813, -122.394952)",POINT (-122.394952 47.256813)
SDS Lumber Company - Bingen,2012,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,89927,87886,119,750,1173,0,0,0,0,,2,"(45.713913, -121.468688)",POINT (-121.468688 45.713913000000005)
Guy Bennett Lumber Company - Clarkston,2016,Wood Products,Lumber Mills,321113,Sawmills,Bennett Lumber Products Inc.,Clarkston,Whitman,Ecology: Eastern Regional Office,21698,21411,1,41,245,0,0,0,0,,1,"(46.423108, -117.086487)",POINT (-117.08648699999999 46.423108)
Alcoa Intalco Works - Ferndale,2019,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1060051,0,367255,8932,31,0,683832,0,0,PFC emissions based on updated source test information.,4,"(48.8455, -122.7055)",POINT (-122.70549999999999 48.8455)
Grant County Landfill 1 - Ephrata,2019,Waste,Landfills,562212,Solid Waste Landfill,Grant County,Ephrata,Grant,Ecology: Eastern Regional Office,49368,0,0,49368,0,0,0,0,0,,2,"(47.270759, -119.573764)",POINT (-119.573764 47.270759)
Puget Sound Energy - Encogen Generating Station - Bellingham,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Bellingham,Whatcom,Northwest Clean Air Agency,132778,0,132639,64,76,0,0,0,0,,3,"(48.746, -122.486)",POINT (-122.486 48.74600000000001)
"Associated Petroleum Products, Inc.",2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,"World Fuel Services, Corp",NA,NA,NA,2356995,78216,2278779,0,0,0,0,0,0,,,,
Puget Sound Energy - Sumas Generating Station - Sumas,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Sumas,Whatcom,Northwest Clean Air Agency,226355,0,226126,105,125,0,0,0,0,,3,"(48.9905, -122.2733)",POINT (-122.27329999999999 48.9905)
CenTrio Energy Seattle LLC - Seattle,2018,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,"BIF II District Energy Holdings III, Delaware",Seattle,King,Puget Sound Clean Air Agency,81449,0,81363,39,48,0,0,0,0,,2,"(47.6068, -122.340179)",POINT (-122.34017900000002 47.6068)
Weyerhaeuser Raymond Lumber - Raymond,2018,Wood Products,Lumber Mills,321113,Sawmills,Weyerhaeuser Co.,Raymond,Pacific,Olympic Region Clean Air Agency,45103,44508,0,86,509,0,0,0,0,,2,"(46.688088, -123.737495)",POINT (-123.73749500000001 46.688088)
Ascensus Specialties LLC - Elma,2014,Chemicals,Other Chemicals,325188,All Other Basic Inorganic Chemical Manufacturing,Ascensus Specialties LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,21231,0,21209,10,12,0,0,0,0,,1,"(46.995459, -123.382316)",POINT (-123.382316 46.995459)
The Boeing Company: DC/MFC - Tukwila,2014,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Tukwila,King,Puget Sound Clean Air Agency,15276,0,15260,7,9,0,0,0,0,,1,"(47.516246, -122.298613)",POINT (-122.29861300000002 47.516246)
"El Oro Cattle Feeders, LLC - Moses Lake",2013,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Agri Beef Co.,Moses Lake,Grant,Ecology: Eastern Regional Office,21558,0,0,1670,19888,0,0,0,0,,1,"(47.052176, -119.093815)",POINT (-119.09381500000002 47.052176)
Tree Top - Wenatchee,2015,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Wenatchee,Chelan,Ecology: Central Regional Office,7806,0,7797,4,4,0,0,0,0,,1,"(47.48938, -120.31426)",POINT (-120.31425999999999 47.48938)
Lamb Weston - Quincy,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,40468,0,40427,19,23,0,0,0,0,,2,"(47.234413, -119.869914)",POINT (-119.869914 47.234413)
Inland Empire Paper Company - Spokane,2017,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,28859,17620,10992,39,208,0,0,0,0,,2,"(47.688295, -117.279323)",POINT (-117.279323 47.688295)
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2013,Minerals,Glass Production,327213,Glass Container Manufacturing,O-I Glass Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,19199,0,19186,6,7,0,0,0,0,,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
"Interfor US, Inc. - Port Angeles",2014,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,45263,44666,0,86,511,0,0,0,0,,2,"(48.103425, -123.518642)",POINT (-123.518642 48.103425)
Sierra Pacific Industries - Aberdeen,2013,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,244793,240941,634,463,2756,0,0,0,0,,3,"(46.971875, -123.775526)",POINT (-123.775526 46.971875)
Starbucks Kent Flexible Plant - Kent,2020,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,11513,0,11501,6,7,0,0,0,0,,1,"(47.436276, -122.237648)",POINT (-122.237648 47.436276)
PetroCard Inc.,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),BBI,NA,NA,NA,,,,,,,,,,Failed to Report.,,,
Northwest Pipeline C/S - Washougal,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Washougal,Clark,Southwest Clean Air Agency,16346,0,14727,1611,8,0,0,0,0,,1,"(45.63236, -122.36516)",POINT (-122.36515999999999 45.63236)
TAC Energy,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Truman Arnold Companies,NA,NA,NA,86806,5384,81422,0,0,0,0,0,0,,,,
ExxonMobil Oil Corporation,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ExxonMobil Oil Corporation,NA,NA,NA,859726,54950,804776,0,0,0,0,0,0,,,,
Emerald City Renewables LLC LFGTE- Graham,2014,Power Plants,"Other Power, Heating, or Cooling Plants",221117,Biomass Electric Power Generation,NECCIF Investments II Inc.,Graham,Pierce,Puget Sound Clean Air Agency,22121,22008,0,34,79,0,0,0,0,First year reporting.,1,"(46.975533, -122.290871)",POINT (-122.29087100000001 46.975533)
The Boeing Company: DC/MFC - Tukwila,2013,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Tukwila,King,Puget Sound Clean Air Agency,15665,0,15649,7,9,0,0,0,0,,1,"(47.516246, -122.298613)",POINT (-122.29861300000002 47.516246)
Washington State University - Pullman,2016,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,58136,0,58075,28,34,0,0,0,0,,2,"(46.728702, -117.151481)",POINT (-117.15148099999999 46.728702)
"Horse Heaven Cattle Feeders, Inc. - Sunnyside",2015,Livestock,Cattle Feedlots,112112,Cattle Feedlots,"Horse Heaven Cattle Feeders, Inc.",Sunnyside,Yakima,Yakima Regional Clean Air Agency,11142,0,0,860,10283,0,0,0,0,,1,"(46.284622, -120.019668)",POINT (-120.019668 46.284622000000006)
Cardinal FG Company - Winlock,2016,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,107291,0,107215,35,41,0,0,0,0,,3,"(46.544937, -122.926313)",POINT (-122.926313 46.544937)
Shell Puget Sound Refinery - Anacortes,2014,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Shell Petroleum Inc.,Anacortes,Skagit,Northwest Clean Air Agency,1808001,0,1797549,6517,3934,0,0,0,0,,4,"(48.470931, -122.559161)",POINT (-122.559161 48.470931)
